,movie_title,domestic_total_gross,runtime_minutes,rating,budget
0,Avengers: Endgame,858373000,181.0,PG-13,356000000
1,The Lion King,543638043,118.0,PG,260000000
2,Toy Story 4,434038008,100.0,G,200000000
3,Frozen II,477373578,103.0,PG,150000000
4,Captain Marvel,426829839,123.0,PG-13,160000000
5,Star Wars: Episode IX,515202542,142.0,PG-13,275000000
6,Spider,390532085,129.0,PG-13,160000000
7,Aladdin,355559216,128.0,PG,183000000
8,Joker,335451311,122.0,R,55000000
9,It Chapter Two,211593228,169.0,R,79000000
10,Jumanji: The Next Level,316831246,123.0,PG-13,125000000
11,Us,175084580,116.0,R,20000000
12,Fast & Furious Presents: Hobbs & Shaw,173956935,137.0,,200000000
13,John Wick: Chapter 3,171015687,130.0,R,75000000
14,How to Train Your Dragon: The Hidden World,160799505,104.0,PG,129000000
15,The Secret Life of Pets 2,158874395,86.0,PG,80000000
16,Pokémon Detective Pikachu,144105346,104.0,PG,150000000
17,Once Upon a Time... in Hollywood,142502728,161.0,R,90000000
18,Shazam!,140371656,132.0,PG-13,100000000
19,Aquaman,335061807,143.0,PG-13,0
20,Knives Out,165363234,130.0,PG-13,40000000
21,Dumbo,114766307,112.0,PG,170000000
22,Maleficent: Mistress of Evil,113929605,119.0,PG,185000000
23,Glass,111048468,129.0,PG-13,20000000
24,Godzilla: King of the Monsters,110500138,132.0,PG-13,170000000
25,The Upside,108252517,126.0,PG-13,37500000
26,Ford v Ferrari,117624357,152.0,PG-13,97600000
27,The Lego Movie 2: The Second Part,105806508,107.0,PG,99000000
28,Hustlers,104963598,110.0,R,20000000
29,The Addams Family,100044905,86.0,PG,24000000
30,Downton Abbey,96854135,122.0,PG,13000000
31,Rocketman,96368160,121.0,R,40000000
32,Alita: Battle Angel,85710210,122.0,PG-13,170000000
33,Good Boys,83140306,90.0,R,20000000
34,Spider,190241310,117.0,PG,0
35,Men in Black: International,80001807,114.0,PG-13,110000000
36,Annabelle Comes Home,74152591,106.0,R,30000000
37,Yesterday,73286650,116.0,PG-13,26000000
38,A Madea Family Funeral,73257045,109.0,PG-13,20000000
39,Zombieland: Double Tap,73123082,99.0,R,42000000
40,Angel Has Fallen,69030436,121.0,R,40000000
41,Scary Stories to Tell in the Dark,68947075,108.0,PG-13,25000000
42,Mary Poppins Returns,171958438,130.0,PG,130000000
43,X,65845974,113.0,PG-13,200000000
44,Terminator: Dark Fate,62253077,128.0,R,185000000
45,Abominable,60716390,97.0,PG,75000000
46,Dora and the Lost City of Gold,60477943,102.0,PG,49000000
47,Escape Room,57005601,99.0,PG-13,9000000
48,A Beautiful Day in the Neighborhood,61704055,109.0,PG,25000000
49,Midway,56846802,138.0,PG-13,100000000
50,Bumblebee,127195589,114.0,PG-13,135000000
51,The Curse of la Llorona,54733739,93.0,R,9000000
52,Pet Sematary,54724696,101.0,R,21000000
53,What Men Want,54611903,117.0,R,20000000
54,Green Book,85080171,130.0,PG-13,23000000
55,Ad Astra,50188370,123.0,PG-13,90000000
56,Isn't It Romantic,48791187,89.0,PG-13,31000000
57,Gemini Man,48546770,117.0,PG-13,138000000
58,Ma,45896028,99.0,R,5000000
59,Five Feet Apart,45729221,116.0,PG-13,7000000
60,Wonder Park,45216793,85.0,PG,90000000
61,Rambo: Last Blood,44819352,89.0,R,50000000
62,Playing with Fire,44451847,96.0,PG,29900000
63,Harriet,43082155,125.0,PG-13,17000000
64,A Dog's Way Home,42004346,96.0,PG,18000000
65,The Angry Birds Movie 2,41667116,97.0,PG,65000000
66,Little,40860481,109.0,PG-13,20000000
67,Queen & Slim,43808310,132.0,R,18000000
68,Breakthrough,40713082,116.0,PG,14000000
69,The Mule,103804407,116.0,R,50000000
70,Crawl,39014193,87.0,R,13500000
71,Little Women,108101214,135.0,PG,40000000
72,The Intruder,35419122,102.0,PG-13,8000000
73,The Hustle,35417038,93.0,PG-13,21000000
74,Last Christmas,35150750,103.0,PG-13,25000000
75,Overcomer,34746945,119.0,PG,5000000
76,Cold Pursuit,32138862,119.0,R,60000000
77,Doctor Sleep,31581712,152.0,R,45000000
78,Dragon Ball Super: Broly,30712119,100.0,PG,8500000
79,Long Shot,30316271,125.0,R,40000000
80,Spies in Disguise,66757013,102.0,PG,100000000
81,Child's Play,29208403,90.0,R,10000000
82,Ready or Not,28714231,95.0,R,6000000
83,Happy Death Day 2U,28148130,100.0,PG-13,9000000
84,Vice,47836282,132.0,R,0
85,21 Bridges,28539757,99.0,R,33000000
86,Midsommar,27426361,148.0,R,9000000
87,Bohemian Rhapsody,216428042,134.0,PG-13,52000000
88,The Art of Racing in the Rain,26395642,109.0,PG,18000000
89,Countdown,25621766,90.0,PG-13,6500000
90,Uncut Gems,50023780,135.0,R,19000000
91,Judy,24313888,118.0,PG-13,0
92,Ralph Breaks the Internet,201091711,112.0,PG,175000000
93,Fighting with My Family,22958886,108.0,PG-13,11000000
94,On the Basis of Sex,24622687,,PG-13,0
95,A Dog's Journey,22782371,109.0,PG,16000000
96,Booksmart,22680962,102.0,R,6000000
97,Parasite,53369749,132.0,R,11400000
98,Stuber,22370452,93.0,R,16000000
